aid,actor_name,movie_credits,popularity
20053,Eric Sykes,30,0.02432
20054,Elaine Cassidy,16,0.899926
20055,Renée Asherson,19,0.016669
20056,Keith Allen,57,2.709986
20057,Michelle Fairley,24,1.835264
20058,Alexander Vince,1,0.036
4785,Jeff Goldblum,98,8.251642
20,Elizabeth Perkins,35,1.487881
67817,Alexander Pollock,5,0.001133
6199,Miriam Margolyes,83,3.085839
2219,Tobey Maguire,31,3.904899
4038,Susan Sarandon,124,9.534022
15831,Frank Welker,262,4.927239
69210,Chyler Leigh,5,2.280778
16828,Chris Evans,43,18.567293
56824,Jaime Pressly,33,8.551255
29020,Eric Christian Olsen,25,2.439107
18658,Mia Kirshner,32,2.619985
22082,Lacey Chabert,67,4.849722
52365,Cerina Vincent,24,2.44986
21625,Molly Ringwald,43,3.398279
19664,Samaire Armstrong,18,0.217609
36137,Nectar Rose,12,0.00287
4135,Robert Redford,83,6.666608
2462,Catherine McCormack,28,5.538413
8435,Stephen Dillane,45,2.032678
17351,Larry Bryggman,6,0.005418
17352,Marianne Jean-Baptiste,26,1.072607
17353,Matthew Marsh,32,0.001176
17354,Todd Boyce,15,1.8e-05
17355,Michael Paul Chan,27,0.250165
17356,Garrick Hagon,24,0.703783
67830,Veronica Taylor,14,1.176319
67832,Rachael Lillis,9,4e-06
73043,Maddie Blaustein,5,0.896
73044,Ikue Otani,45,3.135666
62596,Kane Hodder,86,2.998505
69574,Lexa Doig,15,2.622964
69575,Chuck Campbell,9,3.4e-05
69576,Lisa Ryder,5,1.109576
224,David Cronenberg,28,1.149834
180916,Markus Parilo,4,1.1e-05
23534,Jonathan Potts,12,1.04
44176,Dov Tiefenbach,22,3.9e-05
85926,Melyssa Ade,9,0.004918
61117,Todd Farmer,6,0.026754
1231,Julianne Moore,82,8.989747
18270,Orlando Jones,28,0.734637
15854,Ted Levine,53,1.752591
707,Dan Aykroyd,100,3.379402
15232,Ty Burrell,21,3.708058
94853,Andrew Bowen,16,0.003441
7404,Sarah Silverman,62,3.129909
879,Billy Bob Thornton,78,4.218651
4587,Halle Berry,56,8.998671
16450,Sean Combs,25,0.057904
16451,Coronji Calhoun,1,0.0936
1039,Peter Boyle,65,0.432772
16452,Taylor Simpson,2,6e-06
16453,Gabrielle Witcher,1,0.192
16454,Amber Rules,1,0.12
4239,Yasiin Bey,36,3.015303
8891,John Travolta,82,7.252853
6968,Hugh Jackman,68,18.31279
980,Vinnie Jones,80,6.218267
70767,Drea de Matteo,20,2.146821
25848,Rudolf Martin,18,0.406318
7471,Zach Grenier,26,0.416639
177918,Camryn Grimes,3,0.001044
69122,Heather Graham,72,7.43623
65,Ian Holm,93,4.176092
385,Ian Richardson,52,1.453144
973,Jason Flemyng,82,5.979834
1641,Katrin Cartlidge,25,0.794863
25656,Terence Harvey,20,0.792397
42571,Susan Lynch,33,0.515535
80365,Paul Rhys,23,1.661411
49025,Samuel Le Bihan,41,0.133791
23671,Émilie Dequenne,32,0.002759
28782,Monica Bellucci,61,19.567833
51325,Jérémie Renier,47,1.530007
18702,Mark Dacascos,47,2.561811
24381,Jean Yanne,68,0.244075
6304,Jean-François Stévenin,85,0.049692
53904,Johan Leysen,59,0.000108
20030,Jacques Perrin,78,2.181767
73016,Debi Derryberry,62,1.458435
53570,Megan Cavanagh,18,0.003833
60258,Mark DeCarlo,21,0.000521
59782,Jeffrey Garcia,16,0.8
2387,Patrick Stewart,114,7.898003
519,Martin Short,60,3.338318
43125,Rob Paulsen,109,2.638827
78799,Carolyn Lawrence,15,0.083255
113918,Crystal Scales,10,0.070323
62,Bruce Willis,113,12.505651
112,Cate Blanchett,76,17.28123
31711,Troy Garity,19,0.657517
31712,William Converse-Roberts,8,0.012446
31713,Brían F. O'Byrne,17,0.134533
31714,Stacey Travis,35,1.471494
31715,Azura Skye,15,0.05924
31716,Peggy Miley,4,0
31717,January Jones,20,3.846646
207,Tom Wilkinson,92,4.818741
5606,Sissy Spacek,54,0.970372
6408,Nick Stahl,40,5.177493
3141,Marisa Tomei,68,6.008588
15338,William Mapother,30,0.834981
20542,William Wise,6,3e-06
650,Karen Allen,45,3.148264
1989,Celia Weston,37,0.43318
20543,Frank T. Wells,2,0.002722
20544,W. Clapham Murray,1,9e-06
4691,James Gandolfini,46,3.682999
103,Mark Ruffalo,65,12.434609
21530,Steve Burton,4,0.2352
