did,director_name,movie_credits,popularity
17439,Mike Mills,16,1e-06
85919,Peter Kuran,9,0
1290064,David Devries,7,0
219783,David Gregory,15,8e-06
56059,Patrick Read Johnson,10,0.023724
101074,James Glenn Dudelson,10,0.006586
76100,Ben Stassen,31,3.5e-05
41222,Arthur Allan Seidelman,33,6e-06
560163,David Blyth,14,5e-06
10439,Marshall Brickman,16,0.257712
30810,Donald F. Glut,30,1.1e-05
53387,Heywood Gould,11,0.004854
1706508,Nick Dunlap,11,4e-06
200670,Justin Mitchell,15,0.2184
205298,Eric Weston,11,0
1561070,Robin P. Murray,2,0.000408
1063221,Tetsuya Watanabe,2,0
225023,Miguel Ortiz,1,1.1e-05
1337690,Lenny Pino,1,4e-06
57436,Christopher Leitch,26,0.070056
19504,Kevin Munroe,1,0
118180,Bruce Weber,9,8e-05
40549,Daniel Petrie,38,0.000351
366180,Peter Medek,1,0.000119
129758,Melissa Martin,2,0.024893
64807,Tom Lazarus,10,6e-06
1249974,Koji Masunari,5,0.000217
146605,James D. Deck,7,0
238673,Eric Schwab,7,0.4
1037309,Robert Beavers,43,1.8e-05
223887,Audrey Brohy,5,0.64
223889,Gerard Ungerman,2,2e-06
1320361,Rémi Lange,14,5.2e-05
133863,Drew Ann Rosenberg,4,0.05004
124787,Paul Wynne,12,9.4e-05
86293,Robert M. Young,21,8e-06
21407,Matt Hill,12,4e-06
81702,Robert Munic,7,0.000543
1341253,Martin Murphy,33,0.0504
229420,T.C. Christensen,36,0
126125,Bill Plympton,96,7.7e-05
1034844,Syd Garon,2,0.00024
1034940,Eric Henry,1,7.2e-05
31654,Chris Smith,17,4e-06
120870,Paul Miller,37,0
577811,Gregory Gieras,11,0.56
113488,Jim Gable,16,0.012447
1795427,Dan Hyduk,1,0.1008
22152,Alan Ayckbourn,12,0.000228
933,William Nicholson,22,0.21992
27236,Gregg Champion,14,0.000922
101411,Edward Holzman,40,0.000197
15193,Herbie Hancock,14,0.021866
231537,Bob Smeaton,16,0.52
1466683,John Preston,1,0.2352
63198,Danny Draven,41,0.072
3712,Saul Rubinek,4,1.585483
1192695,Sarah Share,1,1e-05
73629,Denis Langlois,6,1.8e-05
98132,Jim Wynorski,174,2.709689
94134,Brian Katkin,15,2e-06
935026,Ted Bonnitt,1,0.001264
584027,Jose Reyes Bencomo,3,0.56
942251,Rachel Perkins,12,1e-06
1174044,Shaun Trevisick,4,0.8
173491,Charlie Haskell,8,0
1012088,James Benning,69,2.1e-05
95135,Robert Boris,20,0.000116
63713,Martha Coolidge,28,8e-06
152510,Ian Barry,21,0.594111
33880,Dick Lowry,51,0.109837
942801,Tom Kinninmont,5,2e-06
62926,Steven Cantor,18,0.000174
31625,Benjamin Carr,27,0.00014
94911,Juan Carlos Cremata Malberti,9,1.8e-05
98202,Andreas Schnaas,15,1e-06
232246,P.J. Posner,2,0
217361,Don Roy King,7,0
1028417,Eric Shearer,1,0.001361
1381332,Glenn Jordan,8,0.001264
129172,Jean-Pierre Isbouts,2,0.52
1196670,Milford Thomas,1,0
932222,Nick Doob,15,9e-06
21113,D.A. Pennebaker,69,0.014224
54448,Ismail Merchant,38,0.12
1157057,Steven Moskovic,2,0
121363,Steve Belfer,1,2.6e-05
1284083,Curt Truninger,1,0.000972
1526612,Todd Brunswick,13,2e-06
1357990,Benoît Boucher,4,0
1689048,Joe Monroe,4,0.08064
108961,Eric Gibson,10,0.001905
1196315,Michael Giacalone,1,0
1081212,Doveed Linder,4,0.000445
1795437,William Mays,1,2e-06
1601779,Mike Gioscia,2,0.4
1601780,Kurt St. Thomas,1,0
586135,Rod S. Scott,1,1e-06
1634432,Chris LeDoux,14,0.000653
208360,Don Abernathy,3,4e-05
1092657,Ibolya Fekete,7,0
1774718,Velli,3,0
1883158,Paul Schultz,1,0.00324
1028237,Nicole Bettauer,4,0
584067,Gil Green,1,0
90426,Dana Brown,5,0.000408
1529424,Grant Woodhill,1,0
1275511,Patrick Trettenero,1,0
51708,Eric Hendershot,19,1e-06
1080041,Dani Kouyaté,8,0.011558
92029,Gabriel Bologna,5,0.000337
945058,Tom Rice,6,0.00324
1136021,Pierre Huyghe,8,1e-06
1409976,Rene Villar Rios,1,0.00324
65001,Shawn Schepps,5,0.03024
35616,Bob Gonzo,4,1.1e-05
588779,Eugene Martin,6,0.12
588783,John McNamee,1,0.000972
123163,Jeffrey Porter,3,0.001361
1209786,Eric Allens,1,0.12
1298656,Craig MacGowan,1,0.057991
131785,Douglas Barr,29,3.1e-05
60865,R. Paul Miller,6,1.1e-05
935536, Dale Trevillion	 ,9,0.002196
980226,Liz Mermin,9,0.001361
1161763,Jenny Raskin,9,0.00211
1024237,Steve MacCorkle,3,3.7e-05
96,Gordon McLennan,2,0.012447
1470689,Charlie Coates,1,0.0108
1106285,Mark Swanson,3,0
14330,Juney Smith,7,0.003074
1090272,Sharon Rutter,3,0.4
15663,Joseph Sargent,62,1.59963
1622934,Neil Hollander,13,0.001456
1024456,Richard Bradley,5,0
1210807,Ciara Byrne,2,4.3e-05
30310,James Hawes,13,1.1e-05
556109,Mark Poggi,1,3.2e-05
77153,Leif Tilden,4,0.001008
1393498,Ted Landon,15,0
935116,Dann Thombs,25,0.4
935117,Chris Thombs,18,4e-06
56580,Dimitry Elyashkevich,21,4e-05
1719228,Dave Carnie,2,0.00635
61441,Rick Kosick,12,0.001793
562172,Candy Dulfer,1,0.000283
936584,Laurent Bouzereau,120,0.024809
98712,Ron Ford,32,0.336
1572015,Lyn Goldfarb,5,0
1450240,Margaret Koval,3,1.5e-05
545019,Stéphane Clavier,9,8e-06
1768225,Brad Jacques,2,0
1126837,Jason Crowley,1,0.00324
1940647,Jeff Richardson,1,0
233281,Eitan Gorlin,1,0.004212
1329812,Kathryn Arnold,4,0.000126
5713,Chris Wedge,18,0.428859
7623,Sam Raimi,58,4.117793
5174,Barry Sonnenfeld,29,1.493996
3556,Roman Polanski,84,1.827734
1,George Lucas,98,4.693689
17633,Rob Marshall,11,1.704292
6737,Jay Roach,27,0.040236
18865,Louis Leterrier,11,1.551339
35452,Corey Yuen,54,2.276822
11614,M. Night Shyamalan,41,0.93126
11694,Doug Liman,22,1.752448
39,Sam Mendes,20,2.623253
7467,David Fincher,29,6.069907
13927,Kurt Wimmer,19,0.016513
5281,Spike Lee,91,1.339637
26713,Chuck Russell,19,0.869142
1032,Martin Scorsese,104,3.185916
8557,Fernando Meirelles,19,5e-06
8559,Kátia Lund,9,0.002039
525,Christopher Nolan,55,6.455516
607,Zhang Yimou,39,2.237025
4014,Paul W.S. Anderson,43,0.762222
1723,Walter Hill,52,3.17665
69797,Dean DeBlois,15,1.509067
66193,Chris Sanders,17,1.598225
11151,Nick Cassavetes,18,1.800575
15810,Ron Clements,20,1.164425
15811,John Musker,20,2.137504
5572,Joel Schumacher,37,0.494833
18323,Marc Lawrence,18,0.415142
12079,Kelly Asbury,11,0.550759
56660,Lorna Cook,7,0.568
56578,Jeff Tremaine,45,0.187566
6220,Gurinder Chadha,25,3e-06
1215,Raja Gosnell,21,0.335746
309,Pedro Almodóvar,59,2.211915
5953,Spike Jonze,92,3.257876
18898,Rob Minkoff,19,1.353352
23968,Phil Alden Robinson,14,0.731601
8685,Andrew Niccol,23,0.036504
40256,D.J. Caruso,14,2.796717
7270,Adrian Lyne,11,0.074295
468,Stephen Daldry,12,0.084568
57962,Mort Nathan,6,0.054646
4275,Alain Chabat,21,1.585821
7145,Michael Lehmann,12,0.198647
58552,Burr Steers,7,1.53169
65615,Wych Kaosayananda,8,0.054237
8300,Kevin Reynolds,15,0.012993
